MO3   MO11   -0.966070
MO4   MO6    -0.964051
MO5   MO6     0.948240
MO13  MO14    0.941180
MO3   MO5    -0.939877
      MO4     0.926317
      MO19   -0.922622
      MO6    -0.907659
MO4   MO5    -0.902028
MO5   MO11    0.880870
MO11  MO12    0.855583
      MO19    0.846299
MO4   MO11   -0.844402
MO6   MO11    0.841446
MO4   MO13   -0.827863
      MO19   -0.822057
MO5   MO19    0.821516
MO3   MO12   -0.818545
MO4   MO12   -0.782851
MO6   MO19    0.776518
time  MO6     0.753839
      MO5     0.743195
      MO4    -0.740092
MO4   MO14   -0.726726
MO12  MO19    0.721802
time  MO3    -0.714730
MO6   MO12    0.699677
MO3   MO13   -0.693899
MO6   MO13    0.688966
time  MO11    0.675510
MO5   MO12    0.661812
time  MO12    0.633522
MO5   MO13    0.626793
MO13  MO19    0.615849
MO14  MO19    0.592609
MO3   MO14   -0.590497
MO12  MO13    0.576447
time  MO19    0.574105
MO11  MO13    0.561679
time  MO13    0.542182
MO6   MO14    0.538846
MO12  MO14    0.514489
MO5   MO14    0.474882
MO11  MO14    0.447701
time  MO14    0.412123
MO14  MO20    0.193889
MO11  MO20   -0.160839
time  MO20   -0.151590
MO5   MO20   -0.146431
MO13  MO20    0.128776
MO19  MO20    0.100944
MO3   MO20    0.072169
MO6   MO20   -0.057147
MO4   MO20   -0.033661
MO12  MO20    0.025860
dtype: float64
